CID,Host galaxy,Host coord,SIMBAD,HyperLEDA,NED,total_type,reference,comment
2009an,NGC 4332,12 22 46.820 +65 50 37.31,Sa,Sa,Sa,Sa,,
2002cr,NGC 5468,14 06 34.8905851004 -05 27 10.718829772,Sc,Sc,Scd ,Sc,,
2006bh,NGC 7329,22 40 24.199 -66 28 44.58,Sc:,Sbc,Sb,Sbc,,
2002dp,NGC 7678,23 28 27.8602784329 +22 25 16.572970163,Sbc,Sc,Sc,Sc,,
2010Y,NGC 3392,10 51 03.0019614099 +65 46 53.597293668,E,E,E?,E,,
1998dk,UGC 139,00 14 31.872 -00 44 15.63,Scd,Sc,Sc? ,Sc,,
2002ha,NGC 6962,20 47 19.0647983664 +00 19 14.919360084,Sab,Sa,Sab,Sab,,
2009kk,2MASX J03494330-0315348,03 49 43.305 -03 15 34.85,,,,S0,"Tully+,2016",
2009kq,MCG+05-21-01,08 36 15.4085430453 +28 03 37.205233941,Sbc,Sc,,Sc,,
1997E,NGC 2258,06 47 46.185 +74 28 54.63 ,S0 ,S0,S0,S0,,
1999dq,NGC 976,02 34 00.010 +20 58 36.48,Sc,Sbc,Sc:,Sc,,
2008hv,NGC 2765,09 07 36.661 +03 23 34.79 ,S0,S0,S0,S0,,
2005kc,NGC 7311,22 34 06.760 +05 34 13.11,Sa,Sab,Sab,Sab,,
2006N,MCG+11-08-012,06 08 30.3739069195 +64 43 25.165105456,,E,,E,,
2001fe,UGC 5129,09 37 57.9966704316 +25 29 41.284080412,Sa,Sa,Sa,Sa,,
2004eo,NGC 6928,20 32 50.222 +09 55 35.15,Sab,Sab,Sab,Sab,,
2004ey,UGC 11816,21 49 07.310 +00 26 50.95,Sbc,SBc,Sc:,Sbc,,
2005el,NGC 1819,05 11 46.150 +05 12 02.21,S0,S0,S0,S0,,
2006hb,MCG-04-12-034,05 02 00.6929114592 -21 08 12.989641866,E/S0,E-S0,E?,E/S0,,
2006td,2MASX J01581578+3620538,01 58 15.789 +36 20 53.85,S,Sc,,Sc,,
2007ca,MCG-02-34-61,13 31 03.7 -15 06 03,Sc,Sc,Sc,Sc,,
2009nq,NGC 7549,23 15 17.285 +19 02 29.92,Sbc,Sc,Scd,Sc,,
1999ej,NGC 495,01 22 55.9581621477 +33 28 17.040027661,S0a,S0-a,S0/a,S0/a,,
2001en,NGC 523,01 25 20.745 +34 01 30.57,Sb,Sbc,,Sbc,,
2005bo,NGC 4708,12 49 41.484 -11 05 35.09,Sab,Sa,Sab,Sab,,
2007A,NGC 105,00 25 16.7514163075 +12 53 01.915098793,Sbc,Sab,,Sbc,,
2001V,NGC 3987,11 57 20.907 +25 11 43.63,Sb,Sb,Sb,Sb,,
2000dk,NGC 382,01 07 23.920 +32 24 14.71,E:,E,E:,E,,
1998ef,UGC 646,01 03 26.3718916240 +32 14 14.569400764,S,Sb,S?,Sb,,
1994S,NGC 4495,12 31 22.907 +29 08 10.93 ,E,Sab,Sab,Sab,,
2010H,IC 494,08 06 24.1115489662 +01 02 09.635021824 ,S0,S0,S0:,S0,,
2001da,NGC 7780 ,23 53 32.183 +08 07 05.29,Sab,Sa,Sab,Sab,,
2007ap,MCG+03-41-003,15 56 23.5930101441 +16 31 24.182861112,S0,S0-a,S0,S0/a,,
1996bv,UGC 3432,06 16 13.650 +57 03 05.37,Sc,Sc,Scd:,Sc,,
1997Y,NGC 4675,12 45 31.915 +54 44 15.19,Sb,Sb,Sb:,Sb,,
2007fb,UGC 12859,23 56 51.548 +05 30 30.36,Sbc,Sbc,Sbc,Sbc,,
