ra,dec,searchString,canonicalName,radius,objName,objAltName1,objAltName2,objAltName3,objID,uniquePspsOBid,ippObjID,surveyID,htmID,zoneID,tessID,projectionID,skyCellID,randomID,batchID,dvoRegionID,processingVersion,objInfoFlag,qualityFlag,raStack,decStack,raStackErr,decStackErr,raMean,decMean,raMeanErr,decMeanErr,epochMean,posMeanChisq,cx,cy,cz,lambda,beta,l,b,nStackObjectRows,nStackDetections,nDetections,ng,nr,ni,nz,ny,gQfPerfect,gMeanPSFMag,gMeanPSFMagErr,gMeanPSFMagStd,gMeanPSFMagNpt,gMeanPSFMagMin,gMeanPSFMagMax,gMeanKronMag,gMeanKronMagErr,gMeanKronMagStd,gMeanKronMagNpt,gMeanApMag,gMeanApMagErr,gMeanApMagStd,gMeanApMagNpt,gFlags,rQfPerfect,rMeanPSFMag,rMeanPSFMagErr,rMeanPSFMagStd,rMeanPSFMagNpt,rMeanPSFMagMin,rMeanPSFMagMax,rMeanKronMag,rMeanKronMagErr,rMeanKronMagStd,rMeanKronMagNpt,rMeanApMag,rMeanApMagErr,rMeanApMagStd,rMeanApMagNpt,rFlags,iQfPerfect,iMeanPSFMag,iMeanPSFMagErr,iMeanPSFMagStd,iMeanPSFMagNpt,iMeanPSFMagMin,iMeanPSFMagMax,iMeanKronMag,iMeanKronMagErr,iMeanKronMagStd,iMeanKronMagNpt,iMeanApMag,iMeanApMagErr,iMeanApMagStd,iMeanApMagNpt,iFlags,zQfPerfect,zMeanPSFMag,zMeanPSFMagErr,zMeanPSFMagStd,zMeanPSFMagNpt,zMeanPSFMagMin,zMeanPSFMagMax,zMeanKronMag,zMeanKronMagErr,zMeanKronMagStd,zMeanKronMagNpt,zMeanApMag,zMeanApMagErr,zMeanApMagStd,zMeanApMagNpt,zFlags,yQfPerfect,yMeanPSFMag,yMeanPSFMagErr,yMeanPSFMagStd,yMeanPSFMagNpt,yMeanPSFMagMin,yMeanPSFMagMax,yMeanKronMag,yMeanKronMagErr,yMeanKronMagStd,yMeanKronMagNpt,yMeanApMag,yMeanApMagErr,yMeanApMagStd,yMeanApMagNpt,yFlags,distance
131.068924,45.344208,131.068924 45.344208,Equatorial Coord 131.068924  +45.344208  J2000,0.000833333,PSO J131.0685+45.3440,-999,-999,-999,162411310685003420,3560737000105700,277575146511588,0,16456636532613,16241,1,2248,32,0.431477994128576,3560737,64628,3,268959744,32,-999.0,-999.0,-999.0,-999.0,131.06852449,45.34399596,0.029759999364614487,0.029759999364614487,55191.50484954,-999.0,-0.46174430218134366,0.5298947834850958,0.7113393830221602,120.97855423839887,26.22268603545474,175.06502343704116,38.31901775921646,-999,0,8,0,8,0,0,0,-999.0,-999.0,-999.0,-999.0,0,-999.0,-999.0,-999.0,-999.0,-999.0,0,-999.0,-999.0,-999.0,0,0,0.746088981628418,22.035900115966797,0.08563899993896484,0.26336199045181274,7,21.8164005279541,22.428699493408203,21.618200302124023,0.08164799958467484,0.22430600225925446,8,21.791000366210938,0.05208500102162361,0.2387630045413971,8,4120,-999.0,-999.0,-999.0,-999.0,0,-999.0,-999.0,-999.0,-999.0,-999.0,0,-999.0,-999.0,-999.0,0,0,-999.0,-999.0,-999.0,-999.0,0,-999.0,-999.0,-999.0,-999.0,-999.0,0,-999.0,-999.0,-999.0,0,0,-999.0,-999.0,-999.0,-999.0,0,-999.0,-999.0,-999.0,-999.0,-999.0,0,-999.0,-999.0,-999.0,0,0,0.0003518615402380262
131.068924,45.344208,131.068924 45.344208,Equatorial Coord 131.068924  +45.344208  J2000,0.000833333,PSO J131.0688+45.3441,-999,-999,-999,162411310688203617,3560737000105751,277575146511639,0,16456636532611,16241,1,2248,32,0.507034389774347,3560737,64628,3,444915712,53,131.06879514,45.34414513,0.0010000000474974513,0.0010000000474974513,131.06881787,45.34410765,0.014010000042617321,0.020400000736117363,56282.80981481,3.575000047683716,-0.46174610448850445,0.5298913737113303,0.7113407531246966,120.97873785882943,26.222852949064375,175.06488824378644,38.31922690798297,-999,5,59,7,10,22,10,10,0.9996520280838013,21.857200622558594,0.05481100082397461,0.15947699546813965,7,21.739999771118164,22.091800689697266,21.374000549316406,0.14005200564861298,0.4346179962158203,7,21.28499984741211,0.05604099854826927,0.18855500221252441,7,16892216,0.9996489882469177,20.579599380493164,0.033661000430583954,0.1044360026717186,8,20.424999237060547,20.728500366210938,20.126800537109375,0.02698099985718727,0.07783500105142593,9,20.09040069580078,0.020098000764846802,0.08699700236320496,9,16892216,0.9998419880867004,19.80500030517578,0.031078999862074852,0.14697900414466858,18,19.648399353027344,20.1018009185791,19.438499450683594,0.028727000579237938,0.1048159971833229,21,19.389400482177734,0.01846499927341938,0.09929800033569336,21,16892216,0.9995359778404236,19.726999282836914,0.036006998270750046,0.14981800317764282,8,19.577999114990234,19.97559928894043,19.12459945678711,0.046199001371860504,0.1365939974784851,10,19.117900848388672,0.025836000218987465,0.10548199713230133,10,16892216,0.9994230270385742,19.635900497436523,0.15283900499343872,0.43190398812294006,8,18.95479965209961,19.949399948120117,18.979299545288086,0.10501600056886673,0.3390119969844818,9,19.083099365234375,0.19683800637722015,0.4054200053215027,9,16892216,0.00012503701770031942
334.083984,-18.042557,334.083984 -18.042557,Equatorial Coord 334.083984  -18.042557  J2000,0.000833333,PSO J334.0839-18.0421,-999,-999,-999,86343340839299791,3565676000013909,479928235603540,0,12745353559498,8634,1,960,46,0.180003102105114,3565676,111742,3,268959744,32,-999.0,-999.0,-999.0,-999.0,334.0839112,-18.04213431,0.2824699878692627,0.2824699878692627,55848.35447917,-999.0,0.8552089778386576,-0.41556397474975715,-0.30971630101488334,329.4645010219832,-6.826158398195435,38.91066096936539,-53.220732300667756,-999,0,1,0,0,1,0,0,-999.0,-999.0,-999.0,-999.0,0,-999.0,-999.0,-999.0,-999.0,-999.0,0,-999.0,-999.0,-999.0,0,0,-999.0,-999.0,-999.0,-999.0,0,-999.0,-999.0,-999.0,-999.0,-999.0,0,-999.0,-999.0,-999.0,0,0,0.6837819814682007,21.214399337768555,0.2820720076560974,-999.0,1,21.214399337768555,21.214399337768555,21.102399826049805,0.24076500535011292,-999.0,1,21.292499542236328,0.2820720076560974,-999.0,1,4120,-999.0,-999.0,-999.0,-999.0,0,-999.0,-999.0,-999.0,-999.0,-999.0,0,-999.0,-999.0,-999.0,0,0,-999.0,-999.0,-999.0,-999.0,0,-999.0,-999.0,-999.0,-999.0,-999.0,0,-999.0,-999.0,-999.0,0,0,0.0004283203027468496
334.083984,-18.042557,334.083984 -18.042557,Equatorial Coord 334.083984  -18.042557  J2000,0.000833333,PSO J334.0840-18.0425,-999,-999,-999,86343340839539356,3565676000013912,479928235603543,0,12745353559843,8634,1,960,46,0.611633770737456,3565676,111742,3,444915712,53,334.08396074,-18.04250462,0.0010000000474974513,0.0010000000474974513,334.08396289,-18.04252176,0.011989999562501907,0.013030000030994415,56210.39886574,1.927899956703186,0.8552074689575487,-0.4155622878445306,-0.30972273077809914,329.4644065897713,-6.826537530888801,38.91008853284358,-53.22091955677295,-999,5,59,10,14,15,8,12,0.9992139935493469,20.898300170898438,0.04278099909424782,0.1414410024881363,10,20.653200149536133,21.135400772094727,20.79439926147461,0.07761900126934052,0.2742519974708557,10,20.65250015258789,0.07301999628543854,0.2644450068473816,10,16892216,0.9996539950370789,20.18079948425293,0.02098199911415577,0.10785699635744095,12,19.990100860595703,20.357999801635742,20.137800216674805,0.050237998366355896,0.21618899703025818,14,20.00909996032715,0.05347299948334694,0.31747400760650635,14,16892216,0.99891597032547,19.814300537109375,0.048156000673770905,0.18520499765872955,11,19.49720001220703,20.03030014038086,19.622699737548828,0.05747300013899803,0.1709280014038086,11,19.5585994720459,0.03172599896788597,0.14676199853420258,11,16892216,0.9994210004806519,19.57229995727539,0.05395299941301346,0.1745299994945526,7,19.366199493408203,19.886499404907227,19.503599166870117,0.06481499969959259,0.11252500116825104,7,19.467100143432617,0.042890001088380814,0.12059599906206131,7,16892216,0.998803973197937,19.318500518798828,0.036361001431941986,0.1435289978981018,11,19.087600708007812,19.531600952148438,18.97010040283203,0.07739099860191345,0.39216798543930054,12,18.932100296020508,0.07022900134325027,0.29174500703811646,12,16892216,4.0555405887158573e-05
161.079681,58.076195,161.079681 58.076195,Equatorial Coord 161.079681  +58.076195  J2000,0.000833333,PSO J161.0801+58.0756,-999,-999,-999,177691610800211432,3576800000117436,305256210746044,0,15872792215777,17769,1,2426,51,0.685283276890668,3576800,71073,3,268959744,32,-999.0,-999.0,-999.0,-999.0,161.08006091,58.07560403,0.12273000180721283,0.12273000180721283,55589.48616898,-999.0,-0.500230081785879,0.17146154822597684,0.8487466069189578,135.30544115499922,45.27612423700502,149.7705587941152,51.913920946363966,-999,0,1,1,0,0,0,0,0.7893279790878296,21.268400192260742,0.12181100249290466,-999.0,1,21.268400192260742,21.268400192260742,-999.0,-999.0,-999.0,0,21.43000030517578,0.12181100249290466,-999.0,1,4120,-999.0,-999.0,-999.0,-999.0,0,-999.0,-999.0,-999.0,-999.0,-999.0,0,-999.0,-999.0,-999.0,0,0,-999.0,-999.0,-999.0,-999.0,0,-999.0,-999.0,-999.0,-999.0,-999.0,0,-999.0,-999.0,-999.0,0,0,-999.0,-999.0,-999.0,-999.0,0,-999.0,-999.0,-999.0,-999.0,-999.0,0,-999.0,-999.0,-999.0,0,0,-999.0,-999.0,-999.0,-999.0,0,-999.0,-999.0,-999.0,-999.0,-999.0,0,-999.0,-999.0,-999.0,0,0,0.0006241828293521135
161.079681,58.076195,161.079681 58.076195,Equatorial Coord 161.079681  +58.076195  J2000,0.000833333,PSO J161.0805+58.0758,-999,-999,-999,177691610804611689,3576800000117493,305256210746101,0,15872792428766,17769,1,2426,51,0.413193731022248,3576800,71073,3,268959744,32,-999.0,-999.0,-999.0,-999.0,161.08050851,58.07581954,0.2482299953699112,0.2482299953699112,55589.47219907,-999.0,-0.5002284012712725,0.17145660526065507,0.8487485959187672,135.30556161620186,45.276432913640534,149.77004387159707,51.91396069298732,-999,0,1,1,0,0,0,0,0.7130550146102905,22.129899978637695,0.2477719932794571,-999.0,1,22.129899978637695,22.129899978637695,-999.0,-999.0,-999.0,0,22.19339942932129,0.2477719932794571,-999.0,1,4120,-999.0,-999.0,-999.0,-999.0,0,-999.0,-999.0,-999.0,-999.0,-999.0,0,-999.0,-999.0,-999.0,0,0,-999.0,-999.0,-999.0,-999.0,0,-999.0,-999.0,-999.0,-999.0,-999.0,0,-999.0,-999.0,-999.0,0,0,-999.0,-999.0,-999.0,-999.0,0,-999.0,-999.0,-999.0,-999.0,-999.0,0,-999.0,-999.0,-999.0,0,0,-999.0,-999.0,-999.0,-999.0,0,-999.0,-999.0,-999.0,-999.0,-999.0,0,-999.0,-999.0,-999.0,0,0,0.000576583345225187
333.607697,-17.67111,333.607697 -17.671110,Equatorial Coord 333.607697  -17.671110  J2000,0.000833333,PSO J333.6072-17.6707,-999,-999,-999,86793336072185471,3565211000037379,479923940659714,0,12745581394304,8679,1,960,58,0.960316623524126,3565211,111741,3,268959744,32,-999.0,-999.0,-999.0,-999.0,333.60722113,-17.67073466,0.24603000283241272,0.24603000283241272,55847.269375,-999.0,0.853502466313712,-0.4235482361917068,-0.30354642415173533,329.1726596358967,-6.316502284425658,39.206313213979634,-52.66210716074226,-999,0,1,0,0,0,1,0,-999.0,-999.0,-999.0,-999.0,0,-999.0,-999.0,-999.0,-999.0,-999.0,0,-999.0,-999.0,-999.0,0,0,-999.0,-999.0,-999.0,-999.0,0,-999.0,-999.0,-999.0,-999.0,-999.0,0,-999.0,-999.0,-999.0,0,0,-999.0,-999.0,-999.0,-999.0,0,-999.0,-999.0,-999.0,-999.0,-999.0,0,-999.0,-999.0,-999.0,0,0,0.7486060261726379,20.599000930786133,0.24557200074195862,-999.0,1,20.599000930786133,20.599000930786133,-999.0,-999.0,-999.0,0,20.431900024414062,0.24557200074195862,-999.0,1,4120,-999.0,-999.0,-999.0,-999.0,0,-999.0,-999.0,-999.0,-999.0,-999.0,0,-999.0,-999.0,-999.0,0,0,0.000588614079594998
333.607697,-17.67111,333.607697 -17.671110,Equatorial Coord 333.607697  -17.671110  J2000,0.000833333,PSO J333.6075-17.6712,-999,-999,-999,86793336075114970,3565211000037421,479923940659756,0,12745581386343,8679,1,960,58,0.670522002196426,3565211,111741,3,268959744,32,-999.0,-999.0,-999.0,-999.0,333.6075053,-17.67117217,0.0925000011920929,0.0925000011920929,55796.38513889,-999.0,0.8535024906663367,-0.4235429727182522,-0.3035536998413062,329.1727561423083,-6.317007780310059,39.20580926920446,-52.66252105197468,-999,0,2,0,0,1,1,0,-999.0,-999.0,-999.0,-999.0,0,-999.0,-999.0,-999.0,-999.0,-999.0,0,-999.0,-999.0,-999.0,0,0,-999.0,-999.0,-999.0,-999.0,0,-999.0,-999.0,-999.0,-999.0,-999.0,0,-999.0,-999.0,-999.0,0,0,0.7331479787826538,20.216400146484375,0.1033490002155304,-999.0,1,20.216400146484375,20.216400146484375,-999.0,-999.0,-999.0,0,20.44029998779297,0.1033490002155304,-999.0,1,4120,0.7421240210533142,20.383499145507812,0.19875699281692505,-999.0,1,20.383499145507812,20.383499145507812,-999.0,-999.0,-999.0,0,20.809600830078125,0.19875699281692505,-999.0,1,4120,-999.0,-999.0,-999.0,-999.0,0,-999.0,-999.0,-999.0,-999.0,-999.0,0,-999.0,-999.0,-999.0,0,0,0.00019294504271420043
333.607697,-17.67111,333.607697 -17.671110,Equatorial Coord 333.607697  -17.671110  J2000,0.000833333,PSO J333.6078-17.6711,-999,-999,-999,86793336078415066,3565211000037486,479923940659821,0,12745581394392,8679,1,960,58,0.373496942569965,3565211,111741,3,444915712,53,333.60782558,-17.67103907,0.0010000000474974513,0.0010000000474974513,333.60784161,-17.67109457,0.01769999973475933,0.01827000081539154,56221.92799769,3.460599899291992,0.8535053450032901,-0.4235381456431988,-0.3035524093726409,329.17308510077004,-6.317050214431197,39.20612429471794,-52.662789749496994,-999,10,59,13,14,23,6,3,0.9994080066680908,21.06279945373535,0.03687199950218201,0.1293729990720749,10,20.854400634765625,21.31879997253418,20.466299057006836,0.07532799988985062,0.20998500287532806,12,20.443500518798828,0.03796299919486046,0.14424599707126617,12,16892216,0.9997400045394897,20.444499969482422,0.0565049983561039,0.2549990117549896,14,20.003999710083008,20.68470001220703,19.65019989013672,0.025103000923991203,0.1325940042734146,14,19.67020034790039,0.031672000885009766,0.08152099698781967,14,16892216,0.9994320273399353,20.206300735473633,0.033032000064849854,0.10675299912691116,16,20.041400909423828,20.433000564575195,19.49920082092285,0.017969999462366104,0.09806600213050842,19,19.504600524902344,0.026069000363349915,0.11086799949407578,19,16892216,0.9993029832839966,20.082599639892578,0.07258100062608719,0.14117799699306488,4,19.95319938659668,20.26889991760254,19.37779998779297,0.018324999138712883,0.04633399844169617,4,19.333499908447266,0.03718800097703934,0.10457299649715424,4,16892216,0.9975780248641968,19.35689926147461,0.20573799312114716,0.35349398851394653,3,19.30120086669922,19.71579933166504,18.981800079345703,0.07787799835205078,0.17773300409317017,3,18.944000244140625,0.05691999942064285,0.0805789977312088,3,16892216,0.00013864780518510727
333.607697,-17.67111,333.607697 -17.671110,Equatorial Coord 333.607697  -17.671110  J2000,0.000833333,PSO J333.6082-17.6709,-999,-999,-999,86793336081585306,3565211000037537,479923940659872,0,12745581394263,8679,1,960,58,0.758785814753534,3565211,111741,3,268959744,32,-999.0,-999.0,-999.0,-999.0,333.60815191,-17.67087942,0.22598999738693237,0.22598999738693237,55837.41334491,-999.0,0.8535086598244881,-0.4235340299343609,-0.3035488314788352,329.1734403948449,-6.316955357230059,39.206634715624745,-52.662984348185944,-999,0,1,1,0,0,0,0,0.6023790240287781,21.46980094909668,0.22549299895763397,-999.0,1,21.46980094909668,21.46980094909668,21.814699172973633,0.2900780141353607,-999.0,1,21.669599533081055,0.22549299895763397,-999.0,1,4120,-999.0,-999.0,-999.0,-999.0,0,-999.0,-999.0,-999.0,-999.0,-999.0,0,-999.0,-999.0,-999.0,0,0,-999.0,-999.0,-999.0,-999.0,0,-999.0,-999.0,-999.0,-999.0,-999.0,0,-999.0,-999.0,-999.0,0,0,-999.0,-999.0,-999.0,-999.0,0,-999.0,-999.0,-999.0,-999.0,-999.0,0,-999.0,-999.0,-999.0,0,0,-999.0,-999.0,-999.0,-999.0,0,-999.0,-999.0,-999.0,-999.0,-999.0,0,-999.0,-999.0,-999.0,0,0,0.000490960155099119
